City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,alice springs,AU,-23.7,133.8833,94.55,40,75,4.61,broken clouds
234,adre,TD,13.4667,22.2,62.17,29,100,15.86,overcast clouds
235,kieta,PG,-6.2167,155.6333,81.54,82,100,4.09,light rain
236,norman wells,CA,65.282,-126.8329,3.24,85,100,0.0,light snow
237,guaraniacu,BR,-25.1008,-52.8781,60.49,98,100,1.61,overcast clouds
238,broome,US,42.2506,-75.833,31.66,79,31,1.99,scattered clouds
239,nome,US,64.5011,-165.4064,14.07,85,100,8.05,mist
240,grindavik,IS,63.8424,-22.4338,32.47,80,0,13.8,clear sky
241,yenagoa,NG,4.9247,6.2642,77.67,81,96,3.2,overcast clouds
242,amapa,BR,1.0,-52.0,70.43,99,100,1.45,overcast clouds
243,tuatapere,NZ,-46.1333,167.6833,56.97,72,51,6.51,broken clouds
244,sao filipe,CV,14.8961,-24.4956,74.68,68,1,13.65,clear sky
245,bata,GQ,1.8639,9.7658,79.92,78,40,5.59,scattered clouds
246,borovichi,RU,58.3878,33.9155,19.78,94,100,12.03,light snow
247,vila velha,BR,-20.3297,-40.2925,76.95,94,0,6.91,clear sky
248,baiao,BR,-2.7906,-49.6717,71.17,99,100,1.45,overcast clouds
249,bathsheba,BB,13.2167,-59.5167,79.41,78,75,13.8,light rain
250,inhambane,MZ,-23.865,35.3833,80.58,78,40,5.01,scattered clouds
251,lorengau,PG,-2.0226,147.2712,81.48,80,95,5.97,overcast clouds
252,dengzhou,CN,37.8086,120.7508,46.9,52,86,6.49,overcast clouds
253,half moon bay,US,37.4636,-122.4286,55.31,85,100,13.8,mist
254,krasnoselkup,RU,65.7,82.4667,-38.65,98,62,6.53,broken clouds
255,yataity,PY,-26.3667,-56.0667,68.04,84,0,3.67,clear sky
256,zarubino,RU,42.63,131.0922,32.67,62,95,6.11,overcast clouds
257,cabedelo,BR,-6.9811,-34.8339,75.87,80,22,9.66,few clouds
258,roald,NO,62.5833,6.1333,43.72,75,75,19.57,broken clouds
259,okhotsk,RU,59.3833,143.3,-20.24,81,100,4.68,overcast clouds
260,ouesso,CG,1.6136,16.0517,80.4,54,13,2.35,few clouds
261,dawson creek,CA,55.7666,-120.2362,19.04,93,100,2.3,overcast clouds
262,buraydah,SA,26.326,43.975,46.85,54,0,9.4,clear sky
263,mecca,SA,21.4267,39.8261,71.69,40,0,2.33,clear sky
264,panguipulli,CL,-39.6333,-72.3333,39.72,88,0,2.24,clear sky
265,gambela,ET,8.25,34.5833,88.2,28,10,4.68,clear sky
266,marang,MY,5.2056,103.2059,83.97,76,91,5.59,overcast clouds
267,poum,NC,-20.2333,164.0167,79.3,66,100,12.82,overcast clouds
268,kulebaki,RU,55.4133,42.5325,3.81,77,100,11.36,overcast clouds
269,pryazha,RU,61.6926,33.6216,27.63,92,100,12.66,overcast clouds
270,matara,LK,5.9485,80.5353,85.73,49,6,5.14,clear sky
271,sobolevo,RU,54.4299,31.8996,16.3,94,100,14.79,snow
272,sao luiz gonzaga,BR,-28.4083,-54.9608,65.08,85,0,3.89,clear sky
273,bukachacha,RU,52.9833,116.9167,16.32,94,100,0.34,overcast clouds
274,muravlenko,RU,63.7898,74.523,-39.15,99,48,5.77,scattered clouds
275,natal,BR,-5.795,-35.2094,75.85,88,40,3.44,scattered clouds
276,kisangani,CD,0.5167,25.2,75.02,80,100,1.48,overcast clouds
277,oistins,BB,13.0667,-59.5333,75.9,82,4,13.71,light rain
278,alamos,MX,27.0167,-108.9333,64.15,26,100,2.59,overcast clouds
279,evanston,US,42.0411,-87.6901,40.05,91,100,1.01,overcast clouds
280,korla,CN,41.7597,86.1469,36.32,26,100,10.4,overcast clouds
281,chapais,CA,49.7834,-74.8492,-24.02,100,61,0.81,broken clouds
282,tambopata,PE,-12.7333,-69.1833,71.67,96,65,0.96,broken clouds
283,rybachiy,RU,48.7073,44.7449,-2.34,68,0,12.82,clear sky
284,berlevag,NO,70.8578,29.0864,26.6,80,0,19.57,clear sky
285,usinsk,RU,65.9939,57.5281,2.1,95,100,18.66,light snow
